Sex,Wr.Hnd,NW.Hnd,W.Hand,Fold,Pulse,Clap,Exer,Smoke,Height,M.I,Age
Male,20.4,20.3,Right,L on R,75,Left,Freq,Occas,184,Metric,23
Male,23,23,Left,L on R,72,L on R,None,Regul,175,Metric,34
Male,23,23,R,R on L,74,R,Some,Never,185,metric,22
Male,20.5,20,R,R on L,60,Neither,Some,Never,175,metric,24
Male,22,22,R,R on L,89,R on L,None,Never,174,Metric,27
Male,20,19.5,Right,R on L,80,Right,None,Never,177,Metric,31
Male,21,20.5,L,L on R,70,left,"some
",Never,173,metic,25
Male,20.5,20.5,R,L,72,Neither,Freq,Never,171.5,Metric,30
Female,15,15.5,R,R,86,L,None,Occas,158,Metric,23
Male,19.5,20.8,R,R,73,R,None,Never,181,Metric,23
Female,19,"18,5",R,R on L,53,R,Freq,Never,165,Metric,24
Female,"21,5",21,L,L on R,61,R,Freq,Never,173,Metric,21
Male,23.8,23.6,,R on L,70,Right,Some,Never,184,metric,25
Male,21.4,21,R,R,62,R,Some,Never,183,Metric,24
Male,18.5,18,L,Neither,69,R,Freq,Never,174,Metric,23
Male,22.5,22.5,R,L on R,55,R,Freq,Occas,170,Metric,23
Male,20.5,21.5,R,R on L,71,R,Some,Never,180,Metric,31
Male,22,21.5,L,R,74,R,Some,Never,181,Metric,22
